description,amount,date
Uber ride to office,450,2025-01-02
Amazon Shopping - Electronics,12500,2025-01-03
Zomato dinner order,680,2025-01-04
Netflix subscription,649,2025-01-05
Electricity bill payment,2300,2025-01-06
Coffee at Starbucks,350,2025-01-07
Metro pass recharge,1500,2025-01-08
Grocery shopping,4200,2025-01-09
Movie tickets - PVR,1200,2025-01-10
Doctor consultation,800,2025-01-11
Flipkart - Shoes,3500,2025-01-12
Petrol fuel,2800,2025-01-13
Restaurant lunch,950,2025-01-14
Phone recharge,599,2025-01-15
Amazon Shopping - Laptop,65000,2025-01-16
Pizza Dominos delivery,720,2025-01-17
Parking charges,200,2025-01-18
Udemy course purchase,499,2025-01-19
Society maintenance,5500,2025-01-20
Apollo pharmacy medicine,1350,2025-01-21
Spotify subscription,119,2025-01-22
Swiggy food order,540,2025-01-23
Gas bill,450,2025-01-24
Auto rickshaw,180,2025-01-25
Myntra clothing,2800,2025-01-26
Bus ticket,150,2025-01-27
McDonald's breakfast,320,2025-01-28
Internet broadband bill,999,2025-01-29
Ola cab ride,380,2025-01-30
Hospital lab test,2500,2025-01-31
